q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
0.1493,-0.15465,-0.42475,0.87942,-0.93021,-0.14568,0.40954,-0.00048807,-0.0019349,-0.0051002
0.14811,-0.15644,-0.43684,0.87336,-0.95773,-0.14436,0.41102,-0.00051269,-0.0019264,-0.0051014
0.14685,-0.15816,-0.44886,0.86715,-0.98524,-0.14296,0.41233,-0.00053721,-0.0019175,-0.0051026
0.14551,-0.1598,-0.4608,0.86079,-1.0127,-0.14148,0.41348,-0.00056161,-0.0019081,-0.0051039
0.14411,-0.16137,-0.47266,0.85427,-1.0402,-0.13992,0.41447,-0.0005859,-0.0018984,-0.0051053
0.14264,-0.16285,-0.48444,0.84761,-1.0676,-0.1383,0.41528,-0.00061007,-0.0018882,-0.0051067
0.14111,-0.16425,-0.49615,0.8408,-1.0951,-0.1366,0.41593,-0.00063411,-0.0018776,-0.0051082
0.13952,-0.16556,-0.50776,0.83385,-1.1225,-0.13483,0.41641,-0.00065802,-0.0018666,-0.0051097
0.13786,-0.16679,-0.5193,0.82674,-1.1498,-0.133,0.41671,-0.0006818,-0.0018552,-0.0051113
0.13614,-0.16794,-0.53074,0.8195,-1.1772,-0.13111,0.41685,-0.00070543,-0.0018434,-0.0051129
0.13437,-0.16899,-0.54209,0.81211,-1.2045,-0.12916,0.41681,-0.00072892,-0.0018312,-0.0051145
0.13254,-0.16996,-0.55335,0.80458,-1.2318,-0.12715,0.41659,-0.00075226,-0.0018185,-0.0051162
0.13066,-0.17084,-0.56452,0.79691,-1.2591,-0.12509,0.41621,-0.00077544,-0.0018055,-0.0051179
0.12873,-0.17162,-0.57559,0.7891,-1.2864,-0.12297,0.41564,-0.00079846,-0.0017921,-0.0051197
0.12675,-0.17231,-0.58656,0.78115,-1.3136,-0.12081,0.4149,-0.00082131,-0.0017782,-0.0051215
0.12472,-0.17291,-0.59742,0.77307,-1.3408,-0.1186,0.41399,-0.00084399,-0.001764,-0.0051233
