t,mApp
7200,28.7365264
7205,28.7617612
7210,28.7882585
7215,28.8160732
7220,28.8452658
7225,28.8759035
7230,28.908061
7235,28.5986376
7240,28.2608256
7245,28.0157692
7250,27.8264894
7255,27.6747195
7260,27.550099
7265,27.4461942
7270,27.358747
7275,27.2848036
7280,27.2222421
7285,27.1694976
7290,27.1253939
7295,27.0890363
7300,27.0581928
7305,27.0276618
7310,27.0036055
7315,26.9856116
7320,26.9733735
7325,26.966675
7330,26.9653785
7335,26.9694192
7340,26.9788015
7345,26.9935994
7350,27.01396
7355,27.0401104
7360,27.0723694
7365,27.1111643
7370,27.1570558
7375,27.2091232
7380,27.2630335
7385,27.3259072
7390,27.3990206
7395,27.4840801
7400,27.5834154
7405,27.7002996
7410,27.8395095
7415,28.0083825
7420,28.21901
7425,28.4934469
7430,28.8788768
7435,28.9893182
7440,28.9616074
7445,28.9356022
7450,28.9112129
7455,28.8883592
7460,28.8669687
7465,28.8469762
7470,28.8283224
7475,28.8109537
7480,28.7948216
7485,28.7841294
7490,28.8039277
7495,28.8247723
7500,28.8466939
7505,28.8697258
7510,28.8939049
7515,28.9192716
7520,28.9458706
7525,28.9737508
7530,29.0029665
7535,29.0335775
7540,29.06565
7545,29.0992576
7550,29.134482
7555,29.1714146
7560,29.2101573
7565,29.2508248
7570,29.2935463
7575,29.338468
7580,29.3857563
7585,29.4356011
7590,29.488221
7595,29.5005008
7600,29.4925025
7605,29.4852247
7610,29.4786517
7615,29.4727692
7620,29.4675643
7625,29.4630258
7630,29.4591435
7635,29.4559086
7640,29.4533135
7645,29.4513519
7650,29.4500182
7655,29.4493084
7660,29.4492192
7665,29.4497485
7670,29.4508951
7675,29.452659
7680,29.4550408
7685,29.4580426
7690,29.458509
7695,29.4132834
7700,29.3708976
7705,29.3311244
7710,29.2937666
7715,29.2586516
7720,29.2256283
7725,29.1945629
7730,29.1653372
7735,29.1378458
7740,29.1119946
7745,29.0876996
7750,29.0648849
7755,29.0434827
7760,29.0234313
7765,29.0046753
7770,28.9871644
7775,28.9717243
7780,28.992946
7785,29.0152825
7790,29.0387745
7795,29.0634664
7800,29.0894075
7805,29.1166517
7810,29.1452584
7815,29.1752933
7820,29.206829
7825,29.2399464
7830,29.2747352
7835,29.3112956
7840,29.34974
7845,29.3901947
7850,29.4328023
7855,29.4777248
7860,29.5251467
7865,29.5752799
7870,29.6283686
7875,29.6271013
7880,29.6255091
