Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2752.25927177,26488.418610,0.7130315, 68.2517,172.8537,214.4909,134.8364
2756.25426588,26488.518155,0.7134652, 68.2365,172.4298,214.3250,151.1198
2759.25020066,26488.577590,0.7136637, 68.2084,172.1020,214.1943,163.1035
2760.74832559,26488.744678,0.7137084, 68.1982,171.9404,214.1238,169.2056
2762.24608809,26488.874794,0.7137362, 68.1938,171.7817,214.0541,175.0337
2768.23744247,26489.870340,0.7140847, 68.1997,171.1607,213.7890,198.3593
2769.73525835,26490.151239,0.7142422, 68.1909,170.9995,213.7288,204.1232
2770.73381186,26490.244858,0.7143371, 68.1814,170.8897,213.6888,207.9691
2772.23159808,26490.268737,0.7144393, 68.1649,170.7234,213.6262,213.7060
2774.22860485,26490.517610,0.7144967, 68.1479,170.5045,213.5342,221.3243
2775.72628405,26490.814184,0.7145177, 68.1450,170.3462,213.4616,226.9713
2777.22383479,26490.962474,0.7145602, 68.1505,170.1921,213.3908,232.5019
2821.14403692,26495.478004,0.7165721, 68.1393,165.4994,211.4389, 21.2225
2836.11187311,26497.833537,0.7173418, 68.1935,163.9272,210.8137, 66.9169
2840.10335744,26497.054323,0.7176013, 68.1848,163.4956,210.6488, 79.2846
2844.09465105,26496.285388,0.7176659, 68.1954,163.0740,210.4632, 91.6574
2981.72726949,26494.792727,0.7241114, 68.0963,147.9266,204.4809,128.4727
2987.70927937,26493.900696,0.7243122, 68.1243,147.2691,204.2299,143.8573
3017.11822151,26486.608417,0.7251438, 68.2412,144.0189,202.9214,222.2875
3028.08329867,26485.562906,0.7255619, 68.2962,142.8144,202.4328,252.6642
3030.07688469,26485.618290,0.7256243, 68.2847,142.5869,202.3428,258.1669
3033.06721600,26485.847501,0.7256768, 68.2869,142.2536,202.1963,266.3855
3036.05707391,26486.139730,0.7257438, 68.3093,141.9285,202.0547,274.1918
3038.05046277,26486.294171,0.7258152, 68.3235,141.7116,201.9698,279.4488
3040.04392520,26486.474517,0.7259031, 68.3276,141.4905,201.8916,284.7186
3043.03412100,26486.771156,0.7260256, 68.3101,141.1493,201.7745,292.5876
3045.02760706,26486.896632,0.7260767, 68.2939,140.9200,201.6872,297.8532
3048.01755733,26486.850821,0.7261258, 68.2952,140.5861,201.5444,305.5326
3054.99425887,26485.078386,0.7264120, 68.3056,139.8081,201.2781,323.1481
3059.97721326,26480.375809,0.7264406, 68.2685,139.2334,201.0595,335.3532
3060.97383305,26478.396116,0.7264253, 68.2696,139.1212,201.0134,337.7959
3062.96699050,26473.376519,0.7263814, 68.2768,138.8980,200.9229,342.5861
3066.45484946,26477.948208,0.7264156, 68.2858,138.5016,200.7553,350.7340
3068.44784958,26534.500324,0.7270177, 68.2777,138.2692,200.6538,355.3008
3070.93937983,26516.740397,0.7269154, 68.2440,137.9756,200.6119,  1.1441
3074.92544051,26448.732524,0.7263776, 68.2084,137.4970,200.3515, 10.2421
3076.91828591,26472.343631,0.7266711, 68.2204,137.2714,200.2698, 14.5628
3087.87906887,26495.599824,0.7270127, 68.1512,136.0007,199.8568, 38.0000
3091.86443559,26495.637513,0.7270292, 68.1596,135.5519,199.6852, 46.2156
3093.85712224,26495.538299,0.7270517, 68.1574,135.3249,199.6087, 50.3031
3095.84951705,26495.441124,0.7270740, 68.1428,135.0933,199.5347, 54.1841
3101.82683580,26494.880812,0.7270678, 68.0900,134.3940,199.2690, 66.1471
3104.81540266,26494.386069,0.7270865, 68.1107,134.0609,199.1363, 72.1029
3116.27123623,26492.547264,0.7271222, 68.0589,132.7344,198.6417, 95.1308
3117.76529755,26492.293213,0.7271241, 68.0672,132.5664,198.5733, 98.0735
3121.74940266,26491.597294,0.7271448, 68.0754,132.1136,198.4069,105.9085
3189.95124920,26487.529109,0.7274163, 68.2392,124.3745,195.3137,237.1716
3195.92166914,26488.416841,0.7274099, 68.2244,123.6937,195.0382,245.7077
3206.86877189,26490.797742,0.7273663, 68.2416,122.4632,194.5824,261.3671
3214.82903921,26491.650424,0.7273104, 68.2773,121.5734,194.2439,271.3448
3217.81629949,26491.776167,0.7272349, 68.2553,121.2302,194.1441,276.5259
3224.78285828,26491.492674,0.7271438, 68.2399,120.4374,193.8372,286.0992
3229.75945237,26490.881440,0.7270537, 68.2526,119.8784,193.6425,293.2506
