Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
810.63801046,42180.821824,0.0007146,  5.8032, 63.5663,341.9712, 12.7143
811.63572981,42181.126730,0.0007252,  5.8037, 63.5403,341.5180, 13.1476
817.62238108,42182.906214,0.0007953,  5.8166, 63.3785,345.8627,  8.8109
818.62022281,42182.679947,0.0007880,  5.8197, 63.3681,346.7984,  7.8826
822.61158913,42181.131628,0.0007603,  5.8273, 63.3563,345.3926,  9.2709
830.59397168,42183.482588,0.0009256,  5.8458, 63.1365,352.2901,  2.3816
831.59187568,42183.197947,0.0009130,  5.8492, 63.1287,353.3524,  1.3392
831.59187572,42183.197947,0.0009130,  5.8492, 63.1287,353.3524,  1.3392
838.57689277,42182.534037,0.0008508,  5.8592, 63.0432,353.1802,  1.5430
845.56172039,42184.094540,0.0009137,  5.8787, 62.8594,357.4935,357.2863
846.55953570,42183.711650,0.0009016,  5.8821, 62.8530,358.2624,356.4984
852.54707310,42183.018673,0.0009311,  5.8930, 62.7887,355.9588,358.9187
852.54707630,42183.018626,0.0009311,  5.8930, 62.7887,355.9589,358.9198
859.53194015,42183.956405,0.0010044,  5.9186, 62.6301,  4.2454,350.6452
860.52981791,42183.575055,0.0009854,  5.9215, 62.6299,  5.0013,349.8818
861.52764152,42183.253342,0.0009664,  5.9237, 62.6286,  5.4437,349.4126
867.51485152,42183.849444,0.0009428,  5.9334, 62.5234,  4.4557,350.4293
868.51268610,42184.250647,0.0009565,  5.9361, 62.4947,  4.6148,350.2752
875.49802979,42183.296971,0.0009389,  5.9613, 62.4212,  9.8936,345.0888
883.48112621,42184.755343,0.0010613,  5.9807, 62.2805,  9.8602,345.2048
891.46477920,42182.797052,0.0009566,  6.0044, 62.2657, 16.4529,338.7880
892.46276963,42182.899663,0.0009484,  6.0058, 62.2525, 16.1907,339.0949
892.46277249,42182.899658,0.0009484,  6.0058, 62.2525, 16.1907,339.0959
900.44603334,42184.039573,0.0009824,  6.0298, 62.1312, 19.4002,336.0470
900.44606081,42184.040008,0.0009824,  6.0298, 62.1312, 19.4001,336.0570
913.41911241,42183.460579,0.0010293,  6.0648, 62.0441, 23.1039,332.6098
913.41913049,42183.460820,0.0010293,  6.0648, 62.0441, 23.1038,332.6164
913.41954145,42183.466291,0.0010295,  6.0648, 62.0441, 23.1029,332.7655
917.41082790,42181.932785,0.0009492,  6.0734, 62.0746, 26.8471,328.9041
920.40451626,42181.981960,0.0009074,  6.0762, 62.0535, 26.5543,329.2346
