Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
3028.08329867,26512.008742,0.7259599, 68.2440,144.7597,202.7241,146.4172
3030.07688469,26511.441160,0.7260233, 68.2342,144.5314,202.6405,149.8237
3033.06721600,26510.787774,0.7260652, 68.2382,144.1962,202.5021,154.9868
3036.05707391,26510.327553,0.7261139, 68.2643,143.8700,202.3663,159.8619
3038.05046277,26510.022209,0.7261745, 68.2825,143.6531,202.2840,163.2373
3040.04392520,26509.614549,0.7262551, 68.2912,143.4325,202.2082,166.6862
3043.03412100,26508.716471,0.7263728, 68.2804,143.0916,202.0947,171.9422
3045.02760706,26508.024680,0.7264204, 68.2674,142.8615,202.0099,175.5429
3048.01755733,26507.241285,0.7264552, 68.2719,142.5254,201.8690,180.8510
3054.99425887,26505.623414,0.7267436, 68.2975,141.7494,201.5977,193.5237
3059.97721326,26504.104867,0.7268304, 68.2678,141.1745,201.3737,202.6986
3060.97383305,26503.908902,0.7268386, 68.2703,141.0628,201.3258,204.5875
3062.96699050,26503.586481,0.7268643, 68.2801,140.8413,201.2329,208.3194
3066.45484946,26503.214133,0.7269533, 68.2910,140.4518,201.0867,214.7553
3068.44784958,26502.896176,0.7270177, 68.2812,140.2231,201.0088,218.4118
3070.93937983,26502.372320,0.7270799, 68.2537,139.9309,200.9046,223.2384
3074.92544051,26502.096991,0.7271166, 68.2312,139.4707,200.7108,230.7935
3076.91828591,26502.229508,0.7271515, 68.2435,139.2496,200.6165,234.4226
3087.87906887,26503.197720,0.7274022, 68.1712,137.9811,200.1432,254.2026
3091.86443559,26503.874381,0.7274537, 68.1767,137.5309,199.9587,260.9856
3093.85712224,26504.203322,0.7274978, 68.1727,137.3033,199.8768,264.3109
3095.84951705,26504.521505,0.7275434, 68.1561,137.0710,199.7980,267.3942
3101.82683580,26505.448096,0.7275979, 68.0972,136.3693,199.5211,276.7094
3104.81540266,26505.783035,0.7276458, 68.1145,136.0350,199.3833,281.1874
3116.27123623,26507.235194,0.7277908, 68.0478,134.7048,198.8748,297.5478
3117.76529755,26507.472782,0.7278071, 68.0534,134.5363,198.8047,299.4898
3121.74940266,26507.863814,0.7278642, 68.0557,134.0822,198.6345,304.4963
3189.95124920,26550.259367,0.7285732, 68.1910,126.3024,195.6318,355.4288
3195.92166914,26583.983531,0.7288995, 68.1830,125.6171,195.3730,357.2806
3206.86877189,26531.717892,0.7283191, 68.2158,124.3777,194.9749,  1.9328
3214.82903921,26463.569348,0.7275955, 68.2545,123.4761,194.5997,  4.9256
3217.81629949,26453.915103,0.7274888, 68.2361,123.1243,194.4676,  7.6505
3224.78285828,26473.570491,0.7276611, 68.2220,122.3179,194.1435, 11.7534
3229.75945237,26487.565032,0.7277476, 68.2412,121.7517,193.9480, 15.1793
3237.72301331,26500.577775,0.7277051, 68.1946,120.8259,193.6174, 21.9591
